asna-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
asnablíða	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnaeyra	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnagangur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnagras	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnahaus	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnahöfuð	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnakjálki	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnalæti	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnalega	ao	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnalegur	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnaprik	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnareki	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnasál	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnaskapur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnaspark	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnaspil	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnastallur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnastrik	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnastykki	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
asnavit	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
drullu-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
drulludeli	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
drulluhræddur	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
drullulurkur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
mellu-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
melludólgur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
mellufær	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
mellufar	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
melluföt	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
mellulegur	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
mellutorg	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skít-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
skítablesi	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítakarakter	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítakarl	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítakuldi	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítalabbi	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítamix	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítamúsík	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítamylla	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítapakk	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítapleis	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítaredding	no	w	a		Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítastarf	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítatónlist	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítaveður	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítaverk	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítavinna	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítblankur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítbrasari	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skíthæll	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítkast	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítkokkaskóli	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítkokkur	no	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítléttur	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítnógur	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
skítsama	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
tussu-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
þræl-	forliður	w			Áhersluforskeyti sem skeytt er framan á almenn orð, sem gera þau óviðeigandi					
þrælgáfaður	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
þrælheppinn	lo	w			Orð sem inniheldur óviðeigandi áhersluforskeyti					
