ordlisti	orðflokkur	kóði	kóði2	merking	Óviðeigandi ástæða	Annað tilfallandi	önnur merking (ekki óviðeigandi)
afdæmingur	no	k/kk		leiðindagaur	niðrandi/ljótt orð yfir karla	Almenn ljót orð um karlmenn
afhrak	no	k/kk		úrþvætti, mannfýla	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
afklofi	no	k/kk		klaufi, klunni	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
aflaki	no	k/kk		ónytjungur	niðrandi/ljótt orð yfir karla	Skapgerð: Daufgerður, linur, gagnslítill, latur maður; rola				
afskúm	no	k/kk		afhrak, úrþvætti	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
afsnóp	no	k/kk		letingi, drollari	niðrandi/ljótt orð yfir karla	Skapgerð: Daufgerður, linur, gagnslítill, latur maður; rola				
afstyrmi	no	k/kk		Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
aftót	no	k/kk		afstyrmi, úrþvætti	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
afturfótafætlingur	no	k/kk		skammaryrði um mann	niðrandi/ljótt orð yfir karla	Almenn ljót orð um karlmenn				
afturfótafiðrildi	no	k/kk		skammaryrði um mann	niðrandi/ljótt orð yfir karla	Almenn ljót orð um karlmenn				
afturfótakvikindi	no	k/kk		óféti	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
afturfótakvikindi	no	k/kk		maður afkaplega klaufskur í verki	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
afturréttingur	no	k/kk		uppskafningur, montinn maður	niðrandi/ljótt orð yfir karla	Montinn karlmaður, spjátrungur, oflátungur, drambsamur karl				
afturúrstang	no	k/kk		maður sem þykir öðrum lélegri	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
ambinböðull	no	k/kk		erkiklaufi	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
amleri	no	k/kk		ónytjungur	niðrandi/ljótt orð yfir karla	Skapgerð: Daufgerður, linur, gagnslítill, latur maður; rola				
angurgapi	no	k/kk		fífldjarfur maður	niðrandi/ljótt orð yfir karla	Fljótfær karlmaður, óstöðuglyndur karl				
annléri	no	k/kk		aumingi, skussi	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
arlaki	no	k/kk		hrumt og vanmegna gamalmenni	niðrandi/ljótt orð yfir karla	Gamall maður				
árlaki	no	k/kk		hrumt og vanmegna gamalmenni	niðrandi/ljótt orð yfir karla	Gamall maður				
átvagl	no	k/kk		mathákur	niðrandi/ljótt orð yfir karla	Maður sem lætur mikið ofan í sig, þurftarfrekur maður				
barri	no	k/kk		þjösni, rusti	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
barri	no	k/kk		klunni, klaufi	niðrandi/ljótt orð yfir karla	Klaufskur maður, klunnalegur karl				
bedemi	no	k/kk		dúdemi, afstyrmi	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
blína	no	k/kk		hálfgerð rola	niðrandi/ljótt orð yfir karla	Skapgerð: Daufgerður, linur, gagnslítill, latur maður; rola				
blöndulókur	no	k/kk		lítilfjörlegur maður	niðrandi/ljótt orð yfir karla	Skapgerð: Daufgerður, linur, gagnslítill, latur maður; rola				
bófi	no	k/kk		fantur, illmenni	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
borubelgur	no	k/kk		niðrandi um mann	niðrandi/ljótt orð yfir karla	Almenn ljót orð um karlmenn				
bósi	no	k/kk		kvennamaður	niðrandi/ljótt orð yfir karla	Kvensamur maður				
broðháfur	no	k/kk		ruddi, durtur	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
bulla	no	k/kk		áflogahundur, svoli, ódámur	niðrandi/ljótt orð yfir karla	Grófur ruddalegur karlmaður, með óheflaða framkomu, sýnir óþokkaskap				
